percentile,observed RWTR m/s
0.0,NaN
1.0,1.7791575991012993
2.0,1.5740369703265782
3.0,1.450621571373754
4.0,1.3725592910560531
5.0,1.3302102686561779
6.0,1.2794820257073627
7.0,1.2497218321165542
8.0,1.2189732269314044
9.0,1.1929446974823332
10.0,1.1797126071738948
11.0,1.1525216140809722
12.0,1.138541830032789
13.0,1.1242922556655122
14.0,1.102392869788898
15.0,1.0874245781670506
16.0,1.0721476020455827
17.0,1.056550426840035
18.0,1.04126833639659
19.0,1.0302406852488517
20.0,1.0160522129827898
21.0,0.9992129651742194
22.0,0.9819816191906547
23.0,0.9732133503747852
24.0,0.9553605853332728
25.0,0.9462704470101434
26.0,0.9370643981254723
27.0,0.9183062520743029
28.0,0.9084850393065749
29.0,0.8892456649282361
30.0,0.8692216786677903
31.0,0.851565558241187
32.0,0.8381301476108552
33.0,0.8274694328179895
34.0,0.8166521952488466
35.0,0.7945368421659988
36.0,0.7847456517529022
37.0,0.7717359097134447
38.0,0.7714919394754296
39.0,0.7482130912787368
40.0,0.7361655893967926
41.0,0.723918922503854
42.0,0.711466393756512
43.0,0.6988010292641357
44.0,0.6859153928386846
45.0,0.6728016324681537
46.0,0.6727995649708675
47.0,0.6594516292027848
48.0,0.6458566158808074
49.0,0.6320116521123476
50.0,0.6178945851003709
51.0,0.6178910908679928
52.0,0.6035124547767438
53.0,0.6035076044030235
54.0,0.5888357147050208
55.0,0.5738691015432376
56.0,0.5738673889695624
57.0,0.5585904377660844
58.0,0.5436265811757044
59.0,0.5429871816064931
60.0,0.5270625130742174
61.0,0.5107734190552342
62.0,0.5107728121660501
63.0,0.4941231487068011
64.0,0.47709229601150266
65.0,0.4770900524355827
66.0,0.4596487723881246
67.0,0.44180212806570623
68.0,0.42350799134633704
69.0,0.409222792674409
70.0,0.404748216822585
71.0,0.38549902125277413
72.0,0.3657450154548757
73.0,0.34544494979851714
74.0,0.32457294641438655
75.0,0.30309589994137076
76.0,0.3030880163633117
77.0,0.28097765392433854
78.0,0.25818217306827057
79.0,0.2581787446664696
80.0,0.23465594354858382
81.0,0.2103720498110054
82.0,0.21036174750274775
83.0,0.18523042977558868
84.0,0.15923621595564394
85.0,0.15923621595564394
86.0,0.1322917041174583
87.0,0.10433741199922977
88.0,0.04504901964451515
89.0,0.045033244911984405
90.0,-0.05389176661305791
91.0,-0.09006975414117288
92.0,-0.25539411363847514
93.0,-0.4092695986650411
94.0,-0.468521077848398
95.0,-0.8677403072661938
96.0,-1.0
97.0,-1.0
98.0,-1.0
99.0,-1.0
