percentile,RWTR m/s
0.0,NaN
1.0,1.6338201959589302
2.0,1.3626349897993792
3.0,1.3071252244301697
4.0,1.2359632056845813
5.0,1.183825706462877
6.0,1.1653050756744106
7.0,1.151838339872563
8.0,1.1397249283297017
9.0,1.1230346280651327
10.0,1.1072303319848822
11.0,1.091980879526094
12.0,1.0789620953276222
13.0,1.0651395604530547
14.0,1.054512173410861
15.0,1.0420942044248234
16.0,1.0302382913013262
17.0,1.0183094100294485
18.0,1.004800701077902
19.0,0.9905649694033198
20.0,0.9778948308568162
21.0,0.9633460246449491
22.0,0.950220374548712
23.0,0.9396264392314744
24.0,0.9256774851909925
25.0,0.9104475604363095
26.0,0.8989254661974035
27.0,0.8873869826116006
28.0,0.8769860593157718
29.0,0.8665824362861638
30.0,0.8576193018018872
31.0,0.845522691459067
32.0,0.833880600484301
33.0,0.8229061839961848
34.0,0.8097149223834412
35.0,0.7999166986101889
36.0,0.7902299878524425
37.0,0.7821729261813756
38.0,0.7732062057340716
39.0,0.7638978633894252
40.0,0.753018156872881
41.0,0.7415804371193248
42.0,0.732334608988245
43.0,0.7220295245522403
44.0,0.7117633576971857
45.0,0.7014087418916589
46.0,0.6908310376465306
47.0,0.680289297950833
48.0,0.6697942561299717
49.0,0.6591184114439343
50.0,0.6477147733908344
51.0,0.6365195131386217
52.0,0.6254550064830868
53.0,0.613504426654868
54.0,0.5995433889693702
55.0,0.5860961395999005
56.0,0.5736764285846775
57.0,0.558723449533203
58.0,0.5438673269559312
59.0,0.5281733775653068
60.0,0.5129500112611655
61.0,0.4956513482728944
62.0,0.47966239130771166
63.0,0.465166910985246
64.0,0.45028680154505457
65.0,0.4362808670912518
66.0,0.42252059280559356
67.0,0.40970591320163446
68.0,0.3953924521598233
69.0,0.38377690284145455
70.0,0.3702435893427299
71.0,0.3562689939326404
72.0,0.34126454002652973
73.0,0.32587168348090734
74.0,0.31300374587572766
75.0,0.30037058638022596
76.0,0.2858654184780814
77.0,0.27078316998108437
78.0,0.2562708229643235
79.0,0.24152580714430827
80.0,0.22484081343485132
81.0,0.20416125437994184
82.0,0.18321734595566738
83.0,0.16094207058574322
84.0,0.13307645031336704
85.0,0.10317652054933275
86.0,0.0798205281573312
87.0,0.052600184218623315
88.0,0.026332124386434896
89.0,-0.005120371942313748
90.0,-0.037323186535844786
91.0,-0.1132917379780004
92.0,-0.18333655133484977
93.0,-0.2527767612244342
94.0,-0.33993240877225933
95.0,-0.43057332093234224
96.0,-0.5022077870219277
97.0,-1.0
98.0,-1.0
99.0,-1.0
